dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,snr,temperature,tvoc,uptime
2024-12-22 10:27:19.033Z,4.904529154568002,6.435574531555176,12.105010986328125,-0.1532279998064041,3.983926773071289,2.9113309383392334,6.895258903503418,40,541,0.99322134,32.55659866333008,49.62886428833008,79.55989837646484,33.023128509521484,0.0,,,,,973.3700561523438,-89.0,2.0,17.65532875061035,0,1194125
2024-12-22 10:37:18.861Z,4.941678783133225,7.047934532165527,7.047934532165527,2.757887840270996,2.757887840270996,6.052030563354492,6.052030563354492,40,543,1.1050054,32.55049514770508,52.165836334228516,88.39389038085938,32.98586654663086,56.0,0.0,0.0,0.0,0.0,973.3626708984375,-89.0,-1.0,17.7862491607666,0,1194725
2024-12-22 10:47:18.691Z,4.966631855590778,,,,,,,40,544,1.180918,32.50166702270508,51.49473190307617,85.95133972167969,32.74534225463867,0.0,,,,,973.3170776367188,-89.0,0.0,17.89702796936035,0,1195325
2024-12-22 10:57:18.612Z,4.9640578150002215,,,,,,,40,545,1.1745185,32.45588684082031,48.059513092041016,77.90946197509766,34.06899642944336,56.0,,,,,973.3246459960938,-88.0,2.0,17.912134170532227,0,1195925
2024-12-22 11:07:18.452Z,4.966467448395466,,,,,,,40,545,1.1815331,32.461997985839844,42.375789642333984,60.864593505859375,34.326297760009766,84.0,,,,,973.37255859375,-88.0,3.0,17.91716957092285,0,1196525
2024-12-22 11:17:18.851Z,4.983115443638032,,,,,,,40,547,1.2275234,32.59016799926758,42.321781158447266,57.08037567138672,33.60062789916992,0.0,,,,,973.4794921875,-88.0,3.0,17.9070987701416,0,1197125
2024-12-22 11:27:18.694Z,4.997282161034338,,,,,,,40,547,1.2675467,32.66341018676758,43.464717864990234,58.45723342895508,35.50069808959961,56.0,,,,,973.4871826171875,-88.0,4.0,17.91716957092285,1,1197725
2024-12-22 11:37:18.530Z,5.019338627815604,,,,,,,40,549,1.3320537,32.69087600708008,42.4520378112793,52.25484848022461,35.14836502075195,28.0,0.0,0.0,0.0,0.0,973.504638671875,-89.0,0.0,17.97759437561035,2,1198325
2024-12-22 11:47:18.935Z,5.052647966394883,,,,,,,40,551,1.4284515,32.751914978027344,41.79854202270508,47.317020416259766,34.82216262817383,28.0,,,,,973.6041259765625,-88.0,3.0,18.05816078186035,0,1198925
2024-12-22 11:57:18.772Z,5.073148607040311,,,,,,,40,553,1.4870186,32.806846618652344,43.5228385925293,63.52983093261719,35.34902572631836,0.0,,,,,973.6428833007812,-88.0,-1.0,18.09844398498535,0,1199525
2024-12-22 12:07:18.612Z,5.078609608151938,,,,,,,40,556,1.5028194,32.812950134277344,42.72248458862305,67.16631317138672,34.9320182800293,0.0,,,,,973.736083984375,-88.0,4.0,18.113550186157227,1,1200125
2024-12-22 12:17:18.452Z,5.08718136806997,,,,,,,40,561,1.5279387,32.809898376464844,42.89443588256836,52.47874450683594,36.39353561401367,0.0,,,,,973.8638916015625,-89.0,0.0,18.143762588500977,2,1200725
2024-12-22 12:27:18.856Z,5.107142016996319,,,,,,,40,569,1.5841571,32.880088806152344,42.063175201416016,50.763797760009766,34.668575286865234,0.0,,,,,973.8839721679688,-88.0,2.0,18.173974990844727,1,1201325
2024-12-22 12:37:18.706Z,5.118225493982856,,,,,,,40,572,1.6162771,32.883140563964844,48.536128997802734,75.2865219116211,36.09312057495117,84.0,0.0,0.0,0.0,0.0,973.9996337890625,-88.0,4.0,18.2092227935791,5,1201925
2024-12-22 12:47:18.532Z,5.131986185690244,,,,,,,40,573,1.6564261,32.873985290527344,48.31197738647461,74.43315887451172,37.40373611450195,56.0,,,,,974.0951538085938,-88.0,4.0,18.25957679748535,0,1202525
