dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,altitude,batt,co2,dewpoint,fdebug1,fdebug2,fdebug3,humidity,laeqx,lafmax,lafmin,latitude,light,longitude,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-28 15:27:36.373Z,7.583670551196086,,,,,,,,80,556,7.413738,,,,40.01824951171875,43.99088668823242,49.382266998291016,37.38382339477539,,0.0,,1.9906998872756958,1.2845948934555054,1.6411648988723755,1.8666609525680542,1003.142578125,-97.0,,1.0,21.5930118560791,123,3370929
2024-11-28 15:37:36.215Z,7.5685894415743595,,,,,,,,80,554,7.385925,,,,39.880916595458984,44.82882308959961,50.31850051879883,38.30192947387695,,0.0,,,,,,1003.139404296875,-97.0,,0.0,21.618188858032227,118,3371529
2024-11-28 15:47:45.261Z,7.541899718985339,,,,,,,,80,551,7.333192,,,,39.786312103271484,44.46310806274414,49.467220306396484,37.784847259521484,,0.0,,,,,,1003.2508544921875,-97.0,,4.0,21.598047256469727,115,3372129
2024-11-28 15:57:36.093Z,7.533041816887546,,,,,,,,80,548,7.315214,,,,39.774105072021484,43.793949127197266,58.16072463989258,37.06827163696289,,0.0,,,,,,1003.3148803710938,-97.0,,2.0,21.58294105529785,111,3372729
2024-11-28 16:07:35.893Z,7.513662938135796,,,,,,,,80,543,7.2770243,,,,39.694759368896484,43.42094039916992,51.765445709228516,36.83842086791992,,56.0,,,,,,1003.4152221679688,-97.0,,-2.0,21.5728702545166,107,3373329
2024-11-28 16:17:36.292Z,7.5288128313295815,,,,,,,,80,543,7.306212,,,,39.786312103271484,45.25016403198242,54.378021240234375,36.7650260925293,,0.0,,,,,,1003.5166625976562,-97.0,,-1.0,21.567834854125977,105,3373929
2024-11-28 16:27:36.134Z,7.531508668691405,,,,,,,,80,544,7.310656,,,,39.835140228271484,44.2766227722168,54.736942291259766,35.23086929321289,,56.0,,0.7240209579467773,0.6846769452095032,0.7240199446678162,0.7240199446678162,1003.6626586914062,-97.0,,3.0,21.5527286529541,101,3374529
2024-11-28 16:37:36.062Z,7.54260880349468,,,,,,,,80,548,7.3343034,,,,39.801570892333984,42.78715133666992,52.39841842651367,34.662723541259766,,0.0,,,,,,1003.8590698242188,-97.0,,-12.0,21.5930118560791,94,3375129
2024-11-28 16:47:35.975Z,7.530861615992814,,,,,,,,80,552,7.310718,,,,39.774105072021484,43.9881706237793,53.1987419128418,34.571468353271484,,0.0,,,,,,1004.04931640625,-97.0,,-2.0,21.577905654907227,97,3375729
2024-11-28 16:57:35.893Z,7.519705778321759,,,,,,,,80,559,7.288251,,,,39.749691009521484,44.21860885620117,49.42367172241211,37.99470138549805,,0.0,,,,,,1004.0414428710938,-97.0,,-11.0,21.56279945373535,94,3376329
2024-11-28 17:07:35.849Z,7.501368832997451,,,,,,,,80,564,7.252296,,,,39.664241790771484,42.945987701416016,49.31863784790039,35.20528793334961,,0.0,,,,,,1004.1076049804688,-97.0,,3.0,21.557764053344727,87,3376929
