dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-29 19:38:55.511Z,6.944142367215263,,,,,,,60,986,5.6587777,60.550758361816406,41.334110260009766,49.65084457397461,34.391658782958984,,,,,,1009.1939697265625,-89.0,,-4.0,13.118433952331543,0,3472930
2024-11-29 19:48:55.331Z,6.874111872381578,,,,,,,60,981,5.5049906,60.422584533691406,41.51472854614258,47.47700881958008,34.47446823120117,,4.418327808380127,4.1782379150390625,4.418328762054443,4.418327808380127,1009.2415161132812,-89.0,,-4.0,12.987513542175293,1,3473530
2024-11-29 19:58:55.254Z,6.8735615491376,,,,,,,60,984,5.497956,60.79185104370117,41.33425521850586,45.82534408569336,34.24369430541992,,,,,,1009.304443359375,-90.0,,-3.0,12.886805534362793,0,3474130
2024-11-29 20:08:56.052Z,6.846170550695761,,,,,,,60,992,5.4322085,61.07566833496094,41.310665130615234,48.6915397644043,34.2281379699707,,,,,,1009.3978881835938,-88.0,,-4.0,12.745814323425293,0,3474730
2024-11-29 20:18:55.524Z,6.8263210081191055,,,,,,,60,1013,5.384232,61.2953987121582,41.1005744934082,45.28444290161133,34.00955581665039,,,,,,1009.3023071289062,-88.0,,-3.0,12.640070915222168,0,3475330
2024-11-29 20:28:55.329Z,6.778858361452483,,,,,,,60,1021,5.278261,61.2282600402832,41.11057662963867,45.31534957885742,33.787479400634766,,,,,,1009.330078125,-89.0,,-2.0,12.544398307800293,0,3475930
2024-11-29 20:38:56.323Z,6.722744171959949,,,,,,,60,1017,5.15232,61.13670349121094,41.06796646118164,46.06083297729492,33.39524459838867,,,,,,1009.425537109375,-89.0,,-5.0,12.433619499206543,0,3476530
2024-11-29 20:48:55.171Z,6.6940345470872895,,,,,,,60,1017,5.0843983,61.2923469543457,41.18540573120117,48.91865921020508,33.80770492553711,,4.000688552856445,2.5457499027252197,3.2772529125213623,3.7439627647399902,1009.5221557617188,-89.0,,-4.0,12.322840690612793,0,3477130
2024-11-29 20:58:55.092Z,6.698374166089963,,,,,,,60,1021,5.090185,61.56090545654297,40.9611701965332,46.08408737182617,33.75986099243164,,,,,,1009.7117919921875,-88.0,,-3.0,12.262415885925293,0,3477730
2024-11-29 21:08:55.898Z,6.701472102793487,,,,,,,60,1031,5.0900807,62.0308837890625,41.01128005981445,46.5346565246582,33.480037689208984,,,,,,1009.6446533203125,-88.0,,-3.0,12.146601676940918,0,3478330
2024-11-29 21:18:56.226Z,6.694471568321893,,,,,,,60,1050,5.0703835,62.2750244140625,41.08091354370117,46.233943939208984,33.53078079223633,,,,,,1009.7186279296875,-90.0,,-5.0,12.066035270690918,0,3478930
